"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","LgSUBTLWF","SUBTLCD","LgSUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","Freq_N_OG","Freq_N_OGH","Freq_Greater","Freq_G_Mean","Freq_Less","Freq_L_Mean","Freq_Rel","OLD","OLDF","PLD","PLDF","Concreteness_Rating","Semantic_Neighborhood_Density","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","Assoc_Freq_R1","Assoc_Types_R1","Assoc_Freq_R123","Assoc_Types_R123","BG_Sum","BG_Mean","BG_Freq_By_Pos","Pron","NPhon","NSyll","MorphSp","MorphPr","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"moody","5","5","1,563","7.354","2.250","2.064","1.120","1.978","4","10","10","1","1","6.0","7.197","7.197","2.708","2.708","1","8.0","3","5.3","1.23","1.750","6.815","1.600","7.072","2.360","0.575","1,254","1.726","9.370","#","3.710","5.000","4.260","43","29","154","82","2,575","643.750","1,015","m""u4.i","4","2","{mood}>y>","{m""u4}.>i>","2","JJ","590.647","-0.561","119.733","34","1.00","619.074","-0.560","113.207","27","1.000"
"mooed","5","1","8","2.079","0.020","0.301","0.010","0.301","4","25","28","2","2","6.1","8.217","8.244","4.667","4.667","4","6.1","0","#","0.34","1.700","6.956","1.000","8.753","#","0.438","0","#","3.530","#","#","#","#","#","#","#","#","6,521","1,630.250","1,154","m""ud","3","1","{moo}>ed>","{m""u}>d>","2","VB","670.750","-0.004","254.053","8","0.25","770.000","0.084","206.603","17","0.654"
"moon","4","60","30,689","10.332","49.960","3.406","13.910","3.067","11","25","25","9","9","7.5","8.401","8.401","7.861","7.861","1","11.4","10","7.2","1.37","1.250","8.375","1.000","8.758","4.900","0.650","7,017","1.531","4.830","2.083","7.000","3.430","6.110","536","133","1,444","344","6,496","2,165.333","1,075","m""un","3","1","{moon}","{m""un}","1","NN|VB","613.735","-0.765","185.413","34","1.00","572.583","-0.765","82.777","24","1.000"
"moonbeam","8","#","97","4.575","0.750","1.591","0.230","1.301","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.850","6.069","3.800","5.535","3.810","0.171","0","#","8.240","1.958","7.170","4.520","4.820","#","#","1","1","10,177","1,453.857","1,337","m""un.b%im","6","2","{moon}{beam}","{m""un}.{b%im}","2","NN","822.656","-0.046","346.147","32","0.94","739.704","-0.008","156.840","27","1.000"
"moonless","8","#","49","3.892","0.080","0.699","0.050","0.699","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","5.520","2.150","5.021","3.410","0.194","0","#","8.780","#","#","#","#","#","#","1","1","16,096","2,299.429","2,744","m""un.l@s","6","2","{moon}>less>","{m""un}.>l@s>","2","JJ","789.871","0.121","280.037","31","0.97","598.926","-0.507","129.688","27","1.000"
"moonlight","9","13","1,138","7.037","6.940","2.550","3.040","2.408","0","2","2","0","0","#","2.607","2.607","#","#","#","#","#","#","#","3.350","6.420","2.550","5.180","4.430","0.501","0","1.362","5.500","1.917","7.050","3.610","6.280","12","11","41","25","10,997","1,374.625","1,719","m""un.l%aIt","6","2","{moon}{light}","{m""un}.{l%aIt}","2","NN","630.030","-0.458","188.888","33","1.00","601.960","-0.506","111.995","25","0.962"
"moonlike","8","1","1","0.000","#","#","#","#","0","2","2","0","0","#","4.491","4.491","#","#","#","#","#","#","#","3.000","5.447","2.600","3.441","2.850","0.187","0","#","#","#","#","#","#","#","#","#","#","10,356","1,479.429","1,637","m""unl%aIk","6","2","#","","#","#","721.853","-0.139","205.182","34","1.00","674.400","-0.394","173.033","25","1.000"
"moonlit","7","2","184","5.215","0.550","1.462","0.300","1.415","0","1","1","0","0","#","7.037","7.037","#","#","#","#","#","#","#","3.000","6.828","3.100","5.791","3.480","0.248","0","1.345","6.000","#","7.240","3.960","6.050","#","#","2","2","11,545","1,924.167","1,934","m""un.l%It","6","2","{moon}{lit}","{m""un}.{l%It}","2","JJ","776.367","-0.167","319.090","30","0.88","657.615","-0.209","151.549","26","0.963"
"moons","5","3","1,494","7.309","2.350","2.083","0.890","1.881","4","13","17","3","3","5.5","7.578","7.488","5.455","5.455","0","#","4","5.5","1.32","1.700","7.488","1.400","7.686","#","0.536","0","1.324","4.830","#","#","#","#","4","4","9","8","8,352","2,088.000","1,305","m""unz","4","1","{moon}>s>","{m""un}>z>","2","NN|VB","601.484","-0.531","145.617","31","0.94","583.056","-0.512","79.622","18","0.947"
"moon's","6","2","553","6.315","#","#","#","#","0","13","17","0","0","#","7.578","7.559","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","7,704","1,540.800","1,235","m""unz","4","1","{moon}>'s>","{m""un}>z>","2","encl","727.212","-0.241","358.693","33","0.97","640.115","-0.377","317.642","26","1.000"
"moonshine","9","#","230","5.438","0.960","1.699","0.410","1.544","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.650","5.749","3.200","5.234","4.460","0.350","0","#","9.220","5.261","5.500","4.670","4.950","9","6","33","18","19,903","2,487.875","2,609","m""un.S%aIn","6","2","{moon}{shine}","{m""un}.{S%aIn}","2","NN","655.182","-0.294","182.502","33","0.97","711.407","-0.146","185.418","27","1.000"
"moonstone","9","#","72","4.277","0.120","0.845","0.010","0.301","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.450","6.100","3.150","5.387","4.920","0.334","0","#","#","3.565","#","#","#","#","#","#","#","20,164","2,520.500","2,535","m""un.st%on","7","2","{moon}{stone}","{m""un}.{st%on}","2","NN","719.517","-0.152","231.689","29","0.85","735.160","0.175","177.316","25","1.000"
"moonstruck","10","#","38","3.638","0.080","0.699","0.050","0.699","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.200","6.061","3.800","5.168","#","0.173","0","#","12.580","#","#","#","#","#","#","1","1","15,655","1,739.444","1,971","m""un.str%Vk","8","2","{moon}{struck}","{m""un}.{str%Vk}","2","JJ","705.406","-0.233","197.054","32","1.00","671.038","-0.307","129.449","26","0.963"
"moony","5","#","15","2.708","0.040","0.477","0.020","0.477","3","10","10","3","3","7.1","8.364","8.364","7.121","7.121","3","7.1","0","#","0.38","1.800","6.882","1.500","8.298","#","0.161","0","#","11.170","#","#","#","#","#","#","#","#","6,652","1,663.000","1,120","m""un.i","4","2","{moon}>y>","{m""un}.>i>","2","JJ","822.625","-0.059","299.628","16","0.50","675.417","-0.252","300.010","24","0.960"
"Moor","4","#","608","6.410","1.980","2.009","0.270","1.380","7","12","15","2","2","8.5","10.058","10.008","7.987","7.987","5","9.8","2","5.3","0.76","1.450","8.225","1.250","9.476","#","0.564","78","1.428","11.800","#","4.950","3.950","5.280","#","#","#","#","4,644","1,548.000","1,149","m""Ur","3","1","{moor}","{m""Ur}","1","NN|VB","834.667","0.153","278.780","18","0.56","660.360","-0.255","121.599","25","0.926"
"Moore","5","24","12,216","9.411","7.710","2.595","1.570","2.124","3","12","15","0","0","6.4","10.058","9.777","#","#","0","#","3","6.4","1.46","1.700","7.535","1.250","9.476","#","0.654","6,913","#","#","#","#","#","#","13","2","35","6","9,186","2,296.500","1,694","m""Ur","3","1","{moore}","{m""Ur}","1","NN","684.935","-0.243","259.951","31","0.94","591.037","-0.552","111.562","27","0.964"
"moored","6","2","61","4.111","0.180","1.000","0.110","1.000","0","5","5","0","0","#","6.130","6.130","#","#","#","#","#","#","#","1.900","6.733","1.700","8.115","#","0.493","0","1.111","11.800","#","#","#","#","#","#","1","1","13,671","2,734.200","2,380","m""Urd","4","1","{moor}>ed>","{m""Ur}>d>","2","VB","698.667","0.010","144.700","15","0.45","639.667","-0.371","102.624","24","0.923"
"Moore's","7","2","448","6.105","#","#","#","#","0","9","13","0","0","#","6.361","6.300","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","10,378","1,729.667","1,904","m""Urz","4","1","{moore}>'s>","{m""Ur}>z>","2","encl","728.375","-0.199","218.457","32","0.97","712.769","-0.230","207.712","26","1.000"
